loan_term_months,base_default_prob,n_borrowers,principal,replication,steps_run,defaulted_share,roi,default_rate
60,0.05,60,10000.0,4,79,0.07955996947114599,0.3690306500354149,0.18333333333333332
60,0.08,60,10000.0,0,84,0.30050574313724615,0.06107782167491969,0.5166666666666667
60,0.08,60,10000.0,2,80,0.21922003075335209,0.14903660809766248,0.36666666666666664
60,0.08,60,10000.0,1,83,0.233249067573076,0.1522464014040502,0.43333333333333335
60,0.08,60,10000.0,3,89,0.2913715674920067,0.10088712782443889,0.4666666666666667
60,0.08,60,10000.0,4,82,0.25111108473785976,0.11387145762942169,0.36666666666666664
60,0.12,60,10000.0,1,82,0.5565330386644411,-0.3335734086124684,0.75
60,0.12,60,10000.0,0,86,0.5066742709881725,-0.2516636344324303,0.7333333333333333
60,0.12,60,10000.0,3,85,0.6262358229788934,-0.41934002017370364,0.8166666666666667
60,0.12,60,10000.0,2,89,0.47146504756250923,-0.22218034154256533,0.6166666666666667
60,0.12,60,10000.0,4,83,0.5282945459891408,-0.29840163083879206,0.65
